studyID,effectsizeID,y,v,pstatpub,pstatnotpub,typegen,typeovert,typecovert,pyear
1,1,.906617100371747,.0739722664838643,1,0,1,0,0,4.5
1,2,.429525614877025,.0398082152660064,1,0,1,0,0,4.5
1,3,.267911111111111,.0480922522920044,1,0,1,0,0,4.5
1,4,.207842472810532,.0238768171705024,1,0,1,0,0,4.5
1,5,.0526222222222222,.0330749366204977,1,0,1,0,0,4.5
1,6,-.0507079245283019,.0886307348770997,1,0,1,0,0,4.5
2,7,.511656137410976,.0115144433465341,1,0,1,0,0,1.5
2,8,.473772022263451,.00760808594080907,1,0,1,0,0,1.5
2,9,.354429258098224,.00649070828473302,1,0,1,0,0,1.5
3,10,2.28441690140845,.332484216506217,1,0,1,0,0,-8.5
3,11,2.177088,.307294733962159,1,0,1,0,0,-8.5
3,12,1.777728,.269690083539302,1,0,1,0,0,-8.5
3,13,1.548,.45327664957265,1,0,1,0,0,-8.5
3,14,1.48554098360656,.116737833478904,1,0,1,0,0,-6.5
3,15,1.48358918918919,.170612519466555,1,0,1,0,0,-6.5
3,16,1.27770491803279,.153757656101774,1,0,1,0,0,-8.5
3,17,1.03105882352941,.313213854363706,1,0,1,0,0,-8.5
3,18,.940864864864865,.148682349660858,1,0,1,0,0,-6.5
3,19,.626313253012048,.213884714398415,1,0,1,0,0,-6.5
4,20,-.0447438330170778,.0331102369871991,1,0,1,0,0,-7.5
5,21,1.54899095477387,.138370228830484,1,0,1,0,0,-11.5
6,22,.751594366197183,.0477116568257128,1,0,1,0,0,5.5
6,23,.39794651810585,.0448587469922622,1,0,1,0,0,5.5
6,24,.206168115942029,.353334743989395,1,0,1,0,0,5.5
6,25,-.292674157303371,.0757841100142107,1,0,1,0,0,5.5
6,26,-.506685612788632,.0313750667819434,1,0,1,0,0,5.5
7,27,1.70828066825776,.0728835099301057,1,0,1,0,0,3.5
7,28,.800275443037975,.0814650725777159,1,0,1,0,0,3.5
7,29,.726809809264305,.139437760693993,1,0,1,0,0,3.5
7,30,.656924631578947,.0942909096052906,1,0,1,0,0,3.5
7,31,.556935947712418,.135499857438803,1,0,1,0,0,3.5
7,32,.350427926078029,.0763361388004308,1,0,1,0,0,3.5
8,33,.369533904910366,.0199305556431299,1,0,1,0,0,1.5
9,34,.104765482233503,.0331053690896751,1,0,1,0,0,5.5
9,35,.174814205607477,.0345601746468722,1,0,1,0,0,5.5
10,36,.454859640162507,.0277834406850066,1,0,1,0,0,4.5
10,37,.316056428786999,.0184503754445869,1,0,1,0,0,4.5
10,38,.0826328728961114,.0328109150509322,1,0,1,0,0,4.5
10,39,.0221284039466048,.0612279410000926,1,0,1,0,0,4.5
10,40,-.01993004828787,.0127394995627696,1,0,1,0,0,4.5
11,41,2.35799239543727,.122614064355328,0,1,1,0,0,-6.5
11,42,2.35799239543726,.122614064355328,0,1,1,0,0,-6.5
11,43,2.31572815533981,.241593992073217,0,1,1,0,0,-6.5
11,44,2.07645229681979,.084419095722977,0,1,1,0,0,-6.5
11,45,2.00339531772575,.0780191060178622,0,1,1,0,0,-6.5
11,46,1.77164414715719,.0723381331936471,0,1,1,0,0,-6.5
11,47,1.49181625441696,.0701304765173227,0,1,1,0,0,-6.5
11,48,1.44761421319797,.0422296506030982,0,1,1,0,0,-6.5
11,49,1.28968197879859,.0662795441166048,0,1,0,1,0,-6.5
11,50,1.26371863117871,.0934733043689177,0,1,0,1,0,-6.5
11,51,1.24230299212598,.039238779856004,0,1,1,0,0,-6.5
11,52,1.17691338582677,.0387475015749265,0,1,1,0,0,-6.5
11,53,1.07601015228426,.0391036870616516,0,1,1,0,0,-6.5
11,54,1.06534299212598,.0379705778890064,0,1,0,1,0,-6.5
11,55,1.0378640776699,.165068366256862,0,1,1,0,0,-6.5
11,56,1.01006287625418,.0585816658548843,0,1,0,1,0,-6.5
11,57,1.0086538071066,.0386356359108911,0,1,0,1,0,-6.5
11,58,.876523076923077,.0893356200862919,0,1,1,0,0,-6.5
11,59,.861456310679612,.159085243604936,0,1,0,1,0,-6.5
11,60,.853122598105548,.0349732367504016,0,1,1,0,0,-6.5
11,61,.699856929955291,.0353321344682843,0,1,1,0,0,-6.5
11,62,.694680178837556,.0353109016108235,0,1,1,0,0,-6.5
12,63,.299395308585744,.00410790424351443,0,1,0,1,0,4.5
12,64,.299194321044195,.00415238095603418,0,1,1,0,0,4.5
12,65,.298891664731832,.00414924486395399,0,1,0,1,0,4.5
12,66,.290997355601949,.00415035686107959,0,1,0,1,0,4.5
12,67,.216950858713075,.00413297987438484,0,1,0,1,0,4.5
13,68,.387354409317804,.0138052591790653,1,0,1,0,0,-3.5
13,69,.21783693843594,.013692024624241,1,0,1,0,0,-3.5
14,70,.457130375426621,.00996887710129315,1,0,1,0,0,-1.5
14,71,.19471683506475,.00585727275619733,1,0,1,0,0,-1.5
14,72,.0238897964992173,.00252358892503188,1,0,1,0,0,-1.5
14,73,-.0574754518286609,.00321979171227375,1,0,1,0,0,-1.5
14,74,-.119025646026329,.0789288632658898,1,0,1,0,0,-1.5
14,75,-.294468649439298,.0179264810997388,1,0,1,0,0,-1.5
15,76,.712972661870504,.153694721373704,1,0,1,0,0,-13.5
15,77,.398998561151079,.233401349348657,1,0,1,0,0,-13.5
15,78,-.764535251798561,.167381598502348,1,0,1,0,0,-13.5
16,79,.715566502463054,.0914318300145162,1,0,0,1,0,2.5
16,80,.706663677130045,.0875187177329533,1,0,0,0,1,2.5
16,81,.64754612244898,.0329765085649951,1,0,1,0,0,2.5
16,82,.642791189427313,.0861345829942155,1,0,0,0,1,2.5
16,83,.62710066518847,.0400431387432456,1,0,1,0,0,2.5
16,84,.623754581673307,.0679928444473726,1,0,1,0,0,2.5
16,85,.602508387096774,.128669452980497,1,0,0,1,0,2.5
16,86,.576330014224751,.0331794000848984,1,0,1,0,0,2.5
16,87,.517063665594855,.0517022372577046,1,0,0,0,1,2.5
16,88,-.379657649667406,.0389600286852941,1,0,0,0,1,2.5
16,89,-.422785657370518,.0663749824006017,1,0,0,0,1,2.5
16,90,-.424514285714286,.0808668491882086,1,0,0,0,1,2.5
16,91,-.467050199203187,.0666779683736595,1,0,0,0,1,2.5
16,92,-.522978285714286,.0988062277608187,1,0,0,1,0,2.5
16,93,-.56745656877898,.0340462446578445,1,0,0,0,1,2.5
16,94,-.758610421836228,.0436666555434942,1,0,0,0,1,2.5
17,95,.345263764561619,.0340408771175993,1,0,1,0,0,5.5
17,96,.122096956281129,.0158198155175134,1,0,1,0,0,5.5
17,97,.090564153769346,.0106536555937611,1,0,1,0,0,5.5
17,98,.00399303540336622,.0208273392387893,1,0,1,0,0,5.5
17,99,-.0206676393955185,.0122613303639144,1,0,1,0,0,5.5
17,100,-.0660031265266243,.010002681577529,1,0,1,0,0,5.5
